genome_id	genome_name	taxon_id	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names
593907.5	"""[Cellvibrio] gilvus ATCC 13127"""	593907	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas gilvus	131567;2;1783272;201174;1760;85006;85016;1707;11;593907	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas gilvus;Cellulomonas gilvus ATCC 13127
1410651.3	"""[Clostridium] aerotolerans DSM 5434"""	1410651	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Lacrimispora aerotolerans	131567;2;1783272;1239;186801;186802;186803;2719231;36832;1410651	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans;[Clostridium] aerotolerans DSM 5434
358742.3	"""[Clostridium] aldenense strain AF19-9LB"""	358742	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster aldensis	131567;2;1783272;1239;186801;186802;186803;2719313;358742	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster aldensis
358742.4	"""[Clostridium] aldenense strain AM40-2AC"""	358742	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster aldensis	131567;2;1783272;1239;186801;186802;186803;2719313;358742	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster aldensis
1121296.3	"""[Clostridium] aminophilum DSM 10710"""	1121296	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] aminophilum	131567;2;1783272;1239;186801;186802;186803;1506553;1526;1121296	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] aminophilum;[Clostridium] aminophilum DSM 10710
253257.3	"""[Clostridium] amygdalinum strain src4"""	253257	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Lacrimispora amygdalina	131567;2;1783272;1239;186801;186802;186803;2719231;253257	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina
333367.4	"""[Clostridium] asparagiforme strain AF04-15"""	333367	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster asparagiformis	131567;2;1783272;1239;186801;186802;186803;2719313;333367	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster asparagiformis
742732.3	"""[Clostridium] bolteae WAL-14578"""	742732	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479;742732	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae;[Clostridium] bolteae WAL-14578
208479.16	"""[Clostridium] bolteae strain AF14-18"""	208479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae
208479.15	"""[Clostridium] bolteae strain AF24-13"""	208479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae
208479.14	"""[Clostridium] bolteae strain AF27-9"""	208479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae
208479.17	"""[Clostridium] bolteae strain AM35-14"""	208479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae
208479.8	"""[Clostridium] bolteae strain ATCC BAA-613"""	208479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae
208479.10	"""[Clostridium] bolteae strain ATCC BAA-613"""	208479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae
208479.13	"""[Clostridium] bolteae strain OF13-16"""	208479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae
208479.12	"""[Clostridium] bolteae strain TF09-4AC"""	208479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	131567;2;1783272;1239;186801;186802;186803;2719313;208479	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster bolteae
1286362.3	"""[Clostridium] celerecrescens 18A"""	1286362	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Lacrimispora celerecrescens	131567;2;1783272;1239;186801;186802;186803;2719231;29354;1286362	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens;[Clostridium] celerecrescens 18A
29354.3	"""[Clostridium] celerecrescens strain 152B"""	29354	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Lacrimispora celerecrescens	131567;2;1783272;1239;186801;186802;186803;2719231;29354	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens
1121303.3	"""[Clostridium] cellobioparum DSM 1351 = ATCC 15832"""	1121303	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Ruminiclostridium	Ruminiclostridium cellobioparum	131567;2;1783272;1239;186801;186802;2304686;1508657;29355;1121303	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Ruminiclostridium;Ruminiclostridium cellobioparum;Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832
1521.3	"""[Clostridium] cellulolyticum strain I15G10I2"""	1521	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Ruminiclostridium	Ruminiclostridium cellulolyticum	131567;2;1783272;1239;186801;186802;2304686;1508657;1521	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Ruminiclostridium;Ruminiclostridium cellulolyticum
29343.3	"""[Clostridium] cellulosi strain DG5"""	29343	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		[Clostridium] cellulosi	131567;2;1783272;1239;186801;186802;541000;552397;29343	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae incertae sedis;[Clostridium] cellulosi
29343.7	"""[Clostridium] cellulosi strain ZC4RG49"""	29343	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		[Clostridium] cellulosi	131567;2;1783272;1239;186801;186802;541000;552397;29343	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae incertae sedis;[Clostridium] cellulosi
742734.4	"""[Clostridium] citroniae WAL-19142"""	742734	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster citroniae	131567;2;1783272;1239;186801;186802;186803;2719313;358743;742734	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster citroniae;[Clostridium] citroniae WAL-19142
358743.5	"""[Clostridium] citroniae strain AF29-4"""	358743	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster citroniae	131567;2;1783272;1239;186801;186802;186803;2719313;358743	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster citroniae
742736.4	"""[Clostridium] clostridioforme WAL-7855"""	742736	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis	131567;2;1783272;1239;186801;186802;186803;2719313;1531;742736	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis;[Clostridium] clostridioforme WAL-7855
1531.18	"""[Clostridium] clostridioforme strain AM07-19"""	1531	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis	131567;2;1783272;1239;186801;186802;186803;2719313;1531	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis
1531.20	"""[Clostridium] clostridioforme strain NCTC11224"""	1531	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis	131567;2;1783272;1239;186801;186802;186803;2719313;1531	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis
1531.13	"""[Clostridium] clostridioforme strain YL32"""	1531	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis	131567;2;1783272;1239;186801;186802;186803;2719313;1531	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis
1531.4	"""[Clostridium] clostridioforme"""	1531	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis	131567;2;1783272;1239;186801;186802;186803;2719313;1531	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis
69824.4	"""[Clostridium] cocleatum strain ATCC 29902"""	69824	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] cocleatum	131567;2;1783272;1239;526524;526525;128827;1505663;69824	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] cocleatum
